cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
6,5.0,10.67289777514738,12.320659590730957,2.0677508135346754,0.0737026626448069,0.348,0.33999999999999997,0.312,-4.6266413335789425,3.458752218024106,0.0,,,,,,,,,,,5.0,,5.33644888757369,6.160329795365478,1.0338754067673377,0.03685133132240345,False
1,0.0,,,,,,,,,,4.0,2985.5094111006374,11.846485879845451,1.9816369947689076,0.0,1.0,0.0,0.0,-1047.1458319843093,3.057787964204576,,4.0,,1492.7547055503187,5.9232429399227255,0.9908184973844538,0.0,False
3,0.0,,,,,,,,,,4.0,1479.6585362439905,12.503885105856362,2.1117983325637617,0.0,1.0,0.0,0.0,-520.2990822323438,2.7741050307895216,,4.0,,739.8292681219953,6.251942552928181,1.0558991662818809,0.0,False
7,0.0,,,,,,,,,,4.0,864.150312909959,11.757267417573326,2.1126446758110973,0.009109775620862948,1.0,0.0,0.0,-304.6576480577861,3.1989391612032385,,4.0,,432.0751564549795,5.878633708786663,1.0563223379055486,0.004554887810431474,False
5,3.0,6.991394379870027,11.624531713776008,2.253920082107157,0.13560129771678234,0.22666666666666668,0.45999999999999996,0.3133333333333333,-3.452388146792334,3.5285747669987777,0.0,,,,,,,,,,,3.0,,3.4956971899350133,5.812265856888004,1.1269600410535785,0.06780064885839117,False
2,2.0,7.309352501951493,11.650159531331097,1.796958613959238,0.06331338647793322,0.34,0.33999999999999997,0.32,-3.195945392112483,2.9056102811263282,0.0,,,,,,,,,,,2.0,,3.6546762509757467,5.825079765665548,0.898479306979619,0.03165669323896661,False
0,1.0,0.0,12.696952136941599,2.3163501570522897,0.3928750272620487,0.32,0.36,0.32,-2.475203633175089,4.328265868438489,0.0,,,,,,,,,,,1.0,,0.0,6.3484760684707995,1.1581750785261449,0.19643751363102435,False
4,1.0,0.0,11.956389318513962,1.8135383136094507,0.5268248959038941,0.42,0.24,0.34,-3.2423135382035344,4.8399630207148245,0.0,,,,,,,,,,,1.0,,0.0,5.978194659256981,0.9067691568047254,0.26341244795194707,False
