cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
0,5.0,162.732,2.7744572531071117,1.3150666479936113,1.0,0.0,1.0,0.0,-159.64089533546468,2.5714570117553404,0.0,,,,,,,,,,,5.0,,81.366,1.3872286265535558,0.6575333239968056,0.5,False
2,4.0,81.495,3.121152856511767,1.4837631581351278,0.9413,0.015,0.97,0.015,-74.30345512936708,2.9815066923686118,0.0,,,,,,,,,,,4.0,,40.7475,1.5605764282558836,0.7418815790675639,0.47065,False
1,0.0,,,,,,,,,,4.0,69.065,6.603757175347534,2.1399478750914143,0.9413,0.335,0.35000000000000003,0.315,-37.38915578137118,3.754669743016671,,4.0,,34.5325,3.301878587673767,1.0699739375457071,0.47065,False
5,0.0,,,,,,,,,,4.0,183.705,6.315180934213715,2.05995651056879,1.0,0.33999999999999997,0.35,0.31000000000000005,-102.70886053612992,3.135344668773263,,4.0,,91.8525,3.1575904671068575,1.029978255284395,0.5,False
7,0.0,,,,,,,,,,3.0,212.5666666666667,6.466214976517982,2.0530544539346223,1.0,0.24,0.44,0.32,-115.2111801467405,3.8149539910635593,,3.0,,106.28333333333335,3.233107488258991,1.0265272269673111,0.5,False
3,2.0,254.57,2.6445180810372717,1.3217957819869954,1.0,0.0,1.0,0.0,-247.93455048911005,3.512897427688288,0.0,,,,,,,,,,,2.0,,127.285,1.3222590405186359,0.6608978909934977,0.5,False
4,1.0,17.34,4.035459250072554,1.900716343681968,0.34680000000000005,0.08,0.84,0.08,-10.357997596916404,8.77349742785761,0.0,,,,,,,,,,,1.0,,8.67,2.017729625036277,0.950358171840984,0.17340000000000003,False
6,0.0,,,,,,,,,,1.0,17.34,6.317499098834878,2.402087260347081,0.34680000000000005,0.42,0.24,0.34,-7.553524500873236,5.212429174426633,,1.0,,8.67,3.158749549417439,1.2010436301735405,0.17340000000000003,False
