cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
1,0.0,,,,,,,,,,7.0,2442.9569578669334,34.53595376433153,179.20323284719225,1.0,1.0,0.0,0.0,-206.94250465052488,2.5322292933155266,,7.0,,1221.4784789334667,17.267976882165765,89.60161642359613,0.5,False
2,5.0,1624.7428748541138,33.95818493794101,161.96905336713732,1.0,0.0,1.0,0.0,-146.32412802322125,2.1477473545869152,0.0,,,,,,,,,,,5.0,,812.3714374270569,16.979092468970507,80.98452668356866,0.5,False
6,4.0,4120.979132637958,34.717925659296405,411.22024324333563,1.0,0.0,1.0,0.0,-370.9771174824616,2.696745303275842,0.0,,,,,,,,,,,4.0,,2060.489566318979,17.358962829648203,205.61012162166782,0.5,False
0,2.0,4098.214388920563,32.66266334552013,409.89709679724564,1.0,0.0,1.0,0.0,-368.9830328271919,4.095116206069823,0.0,,,,,,,,,,,2.0,,2049.1071944602813,16.331331672760065,204.94854839862282,0.5,False
4,0.0,,,,,,,,,,2.0,1634.438621580317,33.162925317688604,121.77529504962628,1.0,1.0,0.0,0.0,-138.83686543154252,3.2153053042679107,,2.0,,817.2193107901585,16.581462658844302,60.88764752481314,0.5,False
7,0.0,,,,,,,,,,2.0,4518.90924367198,32.95521351611651,332.11608009882184,1.0,1.0,0.0,0.0,-382.8178678192719,3.5844419247394734,,2.0,,2259.45462183599,16.477606758058254,166.05804004941092,0.5,False
3,1.0,258.89964290921324,33.88716125921193,26.498847507912718,0.9573351475799571,0.0,1.0,0.0,-23.598646587975487,5.682852589574961,0.0,,,,,,,,,,,1.0,,129.44982145460662,16.943580629605965,13.249423753956359,0.47866757378997854,False
5,0.0,,,,,,,,,,1.0,235.0288739036488,33.88716125921193,17.467006090713415,0.9573351475799571,1.0,0.0,0.0,-19.98494450126507,5.121478975672294,,1.0,,117.5144369518244,16.943580629605965,8.733503045356708,0.47866757378997854,False
