cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
0,7.0,138.95714285714286,2.8366898714375757,1.361316304524172,0.9996571428571429,0.0,1.0,0.0,-135.27790090169213,2.366757649262587,0.0,,,,,,,,,,,7.0,,69.47857142857143,1.4183449357187878,0.680658152262086,0.49982857142857146,False
4,0.0,,,,,,,,,,5.0,162.732,10.595214994085874,1.1610151594829135,1.0,1.0,0.0,0.0,-165.46391268600573,2.51594406181286,,5.0,,81.366,5.297607497042937,0.5805075797414567,0.5,False
3,3.0,212.5666666666667,2.7698243670912195,1.357989296219315,1.0,0.0,1.0,0.0,-205.36917813407618,3.318095090977279,0.0,,,,,,,,,,,3.0,,106.28333333333335,1.3849121835456097,0.6789946481096575,0.5,False
1,0.0,,,,,,,,,,3.0,65.80666666666666,10.537882530973866,1.2039924228199073,0.9217333333333334,1.0,0.0,0.0,-65.28134049423862,2.073586161149444,,3.0,,32.90333333333333,5.268941265486933,0.6019962114099536,0.4608666666666667,False
5,0.0,,,,,,,,,,3.0,212.5666666666667,10.602643425495673,1.151937168404644,1.0,1.0,0.0,0.0,-210.17839074146187,3.4230948181274035,,3.0,,106.28333333333335,5.3013217127478365,0.575968584202322,0.5,False
2,1.0,38.38,3.4796316523204847,1.5507954161554085,0.7676,0.06,0.88,0.06,-28.234557458938184,5.287517865857778,0.0,,,,,,,,,,,1.0,,19.19,1.7398158261602423,0.7753977080777043,0.3838,False
6,1.0,17.34,4.035459250072554,1.900716343681968,0.34680000000000005,0.08,0.84,0.08,-10.357997596916404,8.77349742785761,0.0,,,,,,,,,,,1.0,,8.67,2.017729625036277,0.950358171840984,0.17340000000000003,False
7,0.0,,,,,,,,,,1.0,17.34,9.365954274961727,1.9390429958914863,0.34680000000000005,1.0,0.0,0.0,-11.222746972932178,6.184690443115129,,1.0,,8.67,4.682977137480863,0.9695214979457432,0.17340000000000003,False
