cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
1,0.0,,,,,,,,,,6.0,7.507128377306048,12.07107363377368,1.973238762160524,0.07834692710593195,0.35000000000000003,0.34,0.31,-3.4917089917401434,2.8592534276650916,,6.0,,3.753564188653024,6.03553681688684,0.986619381080262,0.03917346355296598,False
2,5.0,0.0,11.868466567579153,1.9480172585370163,0.6784640698841365,0.172,0.592,0.236,-4.210039220318021,3.489752333313838,0.0,,,,,,,,,,,5.0,,0.0,5.934233283789577,0.9740086292685082,0.3392320349420683,False
6,4.0,0.0,11.887463891363558,2.1825697780659117,0.8205743651738459,0.1,0.685,0.215,-5.039980761111293,3.1451264610731924,0.0,,,,,,,,,,,4.0,,0.0,5.943731945681779,1.0912848890329558,0.4102871825869229,False
0,3.0,0.5399982301676379,12.51278840325019,2.1179848692087795,0.35813822923153116,0.14,0.6933333333333334,0.16666666666666666,-2.5363174121798626,4.610110876885494,0.0,,,,,,,,,,,3.0,,0.26999911508381896,6.256394201625095,1.0589924346043897,0.17906911461576558,False
3,0.0,,,,,,,,,,2.0,9.620722790484633,11.67791360145193,2.2127649910355736,0.06888037989991617,0.26,0.45,0.29000000000000004,-3.986438945289714,3.180732973601901,,2.0,,4.8103613952423165,5.838956800725965,1.1063824955177868,0.03444018994995809,False
7,0.0,,,,,,,,,,2.0,0.0,12.32667072772778,2.06494423533087,0.4598499615829714,0.37,0.3,0.33,-2.8587585856893116,4.584114444576657,,2.0,,0.0,6.16333536386389,1.032472117665435,0.2299249807914857,False
4,0.0,,,,,,,,,,1.0,1.7327375586408131,11.517767938424162,2.3362302642503234,0.2690431333505146,0.16,0.48,0.36,-2.384286549797572,4.224258353792529,,1.0,,0.8663687793204066,5.758883969212081,1.1681151321251617,0.1345215666752573,False
5,0.0,,,,,,,,,,1.0,22.9404236158036,12.477175213674887,2.093238722628709,0.025058523544309253,0.32,0.34,0.34,-8.574843501678822,5.949461086382638,,1.0,,11.4702118079018,6.238587606837443,1.0466193613143544,0.012529261772154627,False
