cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
3,6.0,2539.6995717044274,34.76590762504637,72.62293279633863,1.0,0.31666666666666665,0.36000000000000004,0.32333333333333336,-192.36693212927193,3.5497982113761286,0.0,,,,,,,,,,,6.0,,1269.8497858522137,17.382953812523184,36.311466398169316,0.5,False
1,5.0,2833.839401069311,33.078501653530545,78.51547226690525,1.0,0.304,0.392,0.30400000000000005,-214.02645508798932,3.432574305755766,0.0,,,,,,,,,,,5.0,,1416.9197005346555,16.539250826765272,39.257736133452624,0.5,False
7,0.0,,,,,,,,,,4.0,1651.4389453539532,34.11340280187176,120.25052197404509,1.0,1.0,0.0,0.0,-139.70854215397142,2.466594155348273,,4.0,,825.7194726769766,17.05670140093588,60.12526098702254,0.5,False
0,0.0,,,,,,,,,,3.0,3498.3143078842404,35.09935504761123,257.8068473447218,1.0,1.0,0.0,0.0,-296.58778797926277,2.6197428106051968,,3.0,,1749.1571539421202,17.549677523805617,128.9034236723609,0.5,False
4,0.0,,,,,,,,,,2.0,1634.438621580317,33.162925317688604,121.77529504962628,1.0,1.0,0.0,0.0,-138.83686543154252,3.2153053042679107,,2.0,,817.2193107901585,16.581462658844302,60.88764752481314,0.5,False
5,0.0,,,,,,,,,,2.0,4518.90924367198,32.95521351611651,332.11608009882184,1.0,1.0,0.0,0.0,-382.8178678192719,3.5844419247394734,,2.0,,2259.45462183599,16.477606758058254,166.05804004941092,0.5,False
6,1.0,235.0288739036489,33.88716125921193,8.365382565073602,0.9573351475799571,0.42,0.24,0.34,-18.06091604878345,5.408513549902723,0.0,,,,,,,,,,,1.0,,117.51443695182445,16.943580629605965,4.182691282536801,0.47866757378997854,False
2,0.0,,,,,,,,,,1.0,235.0288739036488,33.88716125921193,17.467006090713415,0.9573351475799571,1.0,0.0,0.0,-19.98494450126507,5.121478975672294,,1.0,,117.5144369518244,16.943580629605965,8.733503045356708,0.47866757378997854,False
