cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
2,0.0,,,,,,,,,,5.0,162.732,10.595214994085874,1.1610151594829135,1.0,1.0,0.0,0.0,-165.46391268600573,2.51594406181286,,5.0,,81.366,5.297607497042937,0.5805075797414567,0.5,False
1,4.0,69.065,6.603757175347534,2.1399478750914143,0.9413,0.335,0.35000000000000003,0.315,-37.38915578137118,3.754669743016671,0.0,,,,,,,,,,,4.0,,34.5325,3.301878587673767,1.0699739375457071,0.47065,False
5,4.0,183.705,6.315180934213715,2.05995651056879,1.0,0.33999999999999997,0.35,0.31000000000000005,-102.70886053612992,3.135344668773263,0.0,,,,,,,,,,,4.0,,91.8525,3.1575904671068575,1.029978255284395,0.5,False
7,3.0,212.5666666666667,6.466214976517982,2.0530544539346223,1.0,0.24,0.44,0.32,-115.2111801467405,3.8149539910635593,0.0,,,,,,,,,,,3.0,,106.28333333333335,3.233107488258991,1.0265272269673111,0.5,False
0,0.0,,,,,,,,,,3.0,212.5666666666667,10.602643425495673,1.151937168404644,1.0,1.0,0.0,0.0,-210.17839074146187,3.4230948181274035,,3.0,,106.28333333333335,5.3013217127478365,0.575968584202322,0.5,False
3,0.0,,,,,,,,,,3.0,65.80666666666666,10.537882530973866,1.2039924228199073,0.9217333333333334,1.0,0.0,0.0,-65.28134049423862,2.073586161149444,,3.0,,32.90333333333333,5.268941265486933,0.6019962114099536,0.4608666666666667,False
4,1.0,17.34,6.317499098834878,2.402087260347081,0.34680000000000005,0.42,0.24,0.34,-7.553524500873236,5.212429174426633,0.0,,,,,,,,,,,1.0,,8.67,3.158749549417439,1.2010436301735405,0.17340000000000003,False
6,0.0,,,,,,,,,,1.0,17.34,9.365954274961727,1.9390429958914863,0.34680000000000005,1.0,0.0,0.0,-11.222746972932178,6.184690443115129,,1.0,,8.67,4.682977137480863,0.9695214979457432,0.17340000000000003,False
