cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
1,6.0,0.26999911508381896,12.383375015099398,2.1091840374542783,0.5606997449526196,0.13,0.6666666666666666,0.20333333333333334,-3.6138223563185385,3.922976096026814,0.0,,,,,,,,,,,6.0,,0.13499955754190948,6.191687507549699,1.0545920187271391,0.2803498724763098,False
4,3.0,0.0,11.752236127058717,1.802485180509309,0.6791357191453825,0.15333333333333332,0.6133333333333333,0.2333333333333333,-4.22849165964759,3.072701454565253,0.0,,,,,,,,,,,3.0,,0.0,5.876118063529359,0.9012425902546545,0.33956785957269126,False
6,3.0,0.0,11.624531713776008,2.253920082107157,0.7824756235529314,0.14666666666666667,0.6466666666666666,0.20666666666666667,-4.816887421906953,3.701213067220598,0.0,,,,,,,,,,,3.0,,0.0,5.812265856888004,1.1269600410535785,0.3912378117764657,False
3,0.0,,,,,,,,,,3.0,512.0667893684264,12.160705905521054,2.0059809708991954,0.012146367494483931,1.0,0.0,0.0,-181.54574910067723,3.332490822419756,,3.0,,256.0333946842132,6.080352952760527,1.0029904854495977,0.006073183747241966,False
7,0.0,,,,,,,,,,3.0,1834.3717695261475,12.52284393078511,2.0915634977753705,0.0,1.0,0.0,0.0,-644.4802885911132,2.87088933468166,,3.0,,917.1858847630738,6.261421965392555,1.0457817488876853,0.0,False
0,0.0,,,,,,,,,,2.0,2690.817415448494,11.650159531331097,1.796958613959238,0.0,1.0,0.0,0.0,-943.9508124591257,3.2065547369835015,,2.0,,1345.408707724247,5.825079765665548,0.898479306979619,0.0,False
2,0.0,,,,,,,,,,2.0,1167.9598599660376,11.496980292400128,2.3025693137378687,0.0,1.0,0.0,0.0,-410.87440404257444,2.641018148333397,,2.0,,583.9799299830188,5.748490146200064,1.1512846568689343,0.0,False
5,0.0,,,,,,,,,,2.0,3280.2014067527807,12.042812228359807,2.1663153755785776,0.0,1.0,0.0,0.0,-1150.340851509493,2.9090211914256505,,2.0,,1640.1007033763904,6.021406114179904,1.0831576877892888,0.0,False
