cluster,n1,q1,mu1,sigma1,rho1,p0_1,p1_1,p2_1,r1,a1,n2,q2,mu2,sigma2,rho2,p0_2,p1_2,p2_2,r2,a2,js_div,n_total,reward_gap,q_mean,mu_mean,sigma_mean,rho_mean,both_present
2,5.0,3801.114072567151,34.6713719219495,379.39714178022075,1.0,0.0,1.0,0.0,-342.23045961474617,2.513261703633188,0.0,,,,,,,,,,,5.0,,1900.5570362835756,17.33568596097475,189.69857089011037,0.5,False
4,0.0,,,,,,,,,,5.0,2756.305079527493,34.93219433360033,79.025389196268,1.0,0.296,0.39199999999999996,0.312,-208.82984586649962,3.563558848763564,,5.0,,1378.1525397637465,17.466097166800164,39.512694598134,0.5,False
5,4.0,1400.5151354966615,33.82644192928579,139.4351327269813,1.0,0.0,1.0,0.0,-126.09420299305546,2.239852366968001,0.0,,,,,,,,,,,4.0,,700.2575677483308,16.913220964642896,69.71756636349065,0.5,False
1,0.0,,,,,,,,,,4.0,1647.012637647924,33.35413882942407,44.87662455910143,1.0,0.34500000000000003,0.32999999999999996,0.325,-124.19724240382419,3.21310129613373,,4.0,,823.506318823962,16.677069414712037,22.438312279550715,0.5,False
0,2.0,4098.214388920563,32.66266334552013,409.89709679724564,1.0,0.0,1.0,0.0,-368.9830328271919,4.095116206069823,0.0,,,,,,,,,,,2.0,,2049.1071944602813,16.331331672760065,204.94854839862282,0.5,False
7,0.0,,,,,,,,,,2.0,4518.909243671978,32.95521351611651,126.84075694740619,1.0,0.28,0.42000000000000004,0.3,-341.6978346338915,3.895730684341431,,2.0,,2259.454621835989,16.477606758058254,63.420378473703096,0.5,False
3,1.0,258.89964290921324,33.88716125921193,26.498847507912718,0.9573351475799571,0.0,1.0,0.0,-23.598646587975487,5.682852589574961,0.0,,,,,,,,,,,1.0,,129.44982145460662,16.943580629605965,13.249423753956359,0.47866757378997854,False
6,0.0,,,,,,,,,,1.0,235.0288739036489,33.88716125921193,8.365382565073602,0.9573351475799571,0.42,0.24,0.34,-18.06091604878345,5.408513549902723,,1.0,,117.51443695182445,16.943580629605965,4.182691282536801,0.47866757378997854,False
