env,k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar,switch_rate,state_delta_bar,state_delta_std,r_std,reward_trend,dominance_gap,anomaly_score,regime_shift_score,is_anomaly,is_regime_shift
traffic,0,0,49,235.02887390364882,33.887161259211936,17.467006090713415,0.957335147579957,1.0,0.0,0.0,-19.98494450126507,5.726222003291325e-11,0.0,10.449502911893024,5.114759702468611,9.31266968769071,-0.6237925326031821,1.0,5.121478975672294,0.0,True,False
traffic,1,50,99,629.1706655221933,33.33731348221804,47.0982289134854,1.0,1.0,0.0,0.0,-53.496246029640886,5.726222003291325e-11,0.0,7.894491285668356,3.9840890679933296,9.141016252753356,-0.6250915165189307,1.0,3.510526837140996,6.737372249456918,False,True
traffic,2,100,149,1043.9428739382136,34.87774955260604,74.71637616495062,1.0,1.0,0.0,0.0,-88.1104636930463,5.726222003291325e-11,0.0,8.74518776039498,5.692886354527423,10.672650026174757,-0.7204641277074136,1.0,2.849747008226008,6.691328238194001,False,False
traffic,3,150,199,1456.6720325890967,33.93447408227658,105.55221374727269,1.0,1.0,0.0,0.0,-123.13195647655662,5.726222003291325e-11,0.0,8.983952044047971,4.311021809386513,11.55442682073558,-0.7953200637741799,1.0,3.166706271227319,6.331565606174341,False,False
traffic,4,200,249,1862.5012748419635,33.1562306000425,135.3640929963687,1.0,1.0,0.0,0.0,-157.41552699909133,5.726222003291325e-11,0.0,7.691193569126616,5.223742740758193,10.700070037625272,-0.7244385204877658,1.0,2.2244941567320633,6.123593175142971,False,False
traffic,5,250,299,2242.6396000465384,34.4851569725619,165.36940498758835,1.0,1.0,0.0,0.0,-190.17622144719147,5.726222003291325e-11,0.0,9.405360221590264,4.842298213856225,10.621102784191045,-0.7248330052510004,1.0,1.6254291852077023,5.747266921837776,False,False
traffic,6,300,349,2639.706577638441,32.98853715315917,196.45236118576716,1.0,1.0,0.0,0.0,-224.17748483344417,5.726222003291325e-11,0.0,7.848616705976415,4.288673031793099,8.957975763650278,-0.6123697652572085,1.0,2.9200837713948258,6.472071649383965,False,False
traffic,7,350,399,3059.326943655346,35.93017327824051,228.65333668402323,1.0,1.0,0.0,0.0,-260.0303092747054,5.726222003291325e-11,0.0,10.160442852612347,5.513861254780199,9.901204871081285,-0.6709731688531315,1.0,3.1556496010962145,7.020328385792443,False,True
traffic,8,400,449,3494.395855637776,34.422882641515294,259.18745124305076,1.0,1.0,0.0,0.0,-296.61450300094066,5.726222003291325e-11,0.0,9.065303084864869,4.3339069111978015,9.8794025070922,-0.680601578767086,1.0,1.9124280066949892,6.45326350849108,False,False
traffic,9,450,499,3941.2201243595982,34.94500922307789,285.57975410709133,1.0,1.0,0.0,0.0,-333.1185516621423,5.726222003291325e-11,0.0,9.131449057764524,4.978359161411454,11.008565578573398,-0.7478751467025055,1.0,2.7911508240243874,6.2922434468915345,False,False
traffic,10,500,549,4326.368598808639,33.573637494351935,315.4934576559168,1.0,1.0,0.0,0.0,-366.0598658364895,5.726222003291325e-11,0.0,7.948809833228706,3.4612813984864723,10.500768756858813,-0.7229186798211681,1.0,3.3872006320161065,6.064476181929858,False,False
traffic,11,550,599,4711.449888535322,32.33678953788109,348.73870254172687,1.0,1.0,0.0,0.0,-399.5758698020543,5.726222003291325e-11,0.0,7.196688104800874,4.877293686433204,10.065800505666497,-0.6809435027617734,1.0,3.7816832174628394,6.0528894012063885,True,False
