env,k,t_start,t_end,q_bar,mu_bar,sigma_bar,rho_bar,freq0,freq1,freq2,r_bar,H_bar,switch_rate,state_delta_bar,state_delta_std,r_std,reward_trend,dominance_gap,anomaly_score,regime_shift_score,is_anomaly,is_regime_shift
queue,0,0,49,17.34,9.365954274961728,1.9390429958914865,0.34680000000000005,1.0,0.0,0.0,-11.22274697293218,5.726222003291325e-11,0.0,1.1036135469145136,0.801779179569867,5.807315326421375,-0.3950352937693171,1.0,6.18469044311513,0.0,True,False
queue,1,50,99,38.38,10.381723258715592,1.335451334025273,0.7676,1.0,0.0,0.0,-35.155579015988884,5.726222003291325e-11,0.0,0.9417937805199716,0.8274872886713341,7.109733921039102,-0.4862492063376151,1.0,2.348405035147242,5.303835243688454,False,True
queue,2,100,149,56.66,10.578536285911081,1.1208290901633808,0.9975999999999999,1.0,0.0,0.0,-57.517449623794704,5.726222003291325e-11,0.0,1.0354329062551288,0.958886273752334,5.486041863767957,-0.36190378543850293,1.0,2.36666511150371,4.227962649704115,False,False
queue,3,150,199,78.84,10.583857497124063,1.1957724393965483,1.0,1.0,0.0,0.0,-80.27864079139114,5.726222003291325e-11,0.0,0.7081078806323088,0.6880385900662704,8.746067443277743,-0.6026932129471653,1.0,3.2260383820760627,4.908227677525165,False,False
queue,4,200,249,102.38,10.653388048294921,1.1556968442710678,1.0,1.0,0.0,0.0,-103.17099284293228,5.726222003291325e-11,0.0,0.9532195431990342,0.8494760363067554,6.090811562869083,-0.38863833299694156,1.0,1.5056883367973803,4.570600731377386,False,False
queue,5,250,299,128.56,10.623928628937557,1.2155963957980065,1.0,1.0,0.0,0.0,-121.46135493960539,5.726222003291325e-11,0.0,1.0848898487335226,1.156968296757059,5.058058765732084,-0.3223460963935491,1.0,3.082007262948138,3.696248663538444,False,False
queue,6,300,349,157.46,10.499353339560594,1.278980684172094,1.0,1.0,0.0,0.0,-143.78674744330786,5.726222003291325e-11,0.0,0.8478738994196349,0.8525260207250139,8.957351341226122,-0.5911382935613616,1.0,2.185752210837553,4.861190246795993,False,False
queue,7,350,399,173.6,10.622856140869683,1.115898402131525,1.0,1.0,0.0,0.0,-173.88099256829753,5.726222003291325e-11,0.0,0.7847416170849572,0.7781812586785949,7.797144059087466,-0.5256591856077234,1.0,2.173648875485951,5.023978414316332,False,True
queue,8,400,449,192.38,10.638004235298776,1.1064297818560478,1.0,1.0,0.0,0.0,-200.47304452139514,5.726222003291325e-11,0.0,0.8701766480651307,0.683908283834883,8.223400317866664,-0.5528964044714357,1.0,2.519931397463424,4.379907038994293,False,False
queue,9,450,499,211.38,10.632003757576253,1.107994489858353,1.0,1.0,0.0,0.0,-228.900138105637,5.726222003291325e-11,0.0,0.8447598469929273,0.7807125386609723,8.212664254667192,-0.5482178844566146,1.0,2.474349443201308,4.5701301252499995,False,False
queue,10,500,549,235.88,10.636232815435399,1.0827124046479184,1.0,1.0,0.0,0.0,-248.67509226590028,5.726222003291325e-11,0.0,1.0094760073202536,0.9921800123311103,3.1355052465526048,-0.10162131391586943,1.0,4.166834066449544,4.697417017581103,True,False
queue,11,550,599,273.26,10.54776883211406,1.1575027047680069,1.0,1.0,0.0,0.0,-260.39872501888,5.726222003291325e-11,0.0,1.1053454349005694,0.9808971920747234,6.284947889147248,-0.42382736985430625,1.0,3.020443124984528,2.874680001275007,False,False
